	CONCEPT	LANGUAGE	IPA
234	ear 	Xiaozhai Younuo	mi̯e13
235	ear 	Huangluo Younuo	muy13
236	ear 	Northern Pa-Hng	ni̯o33
237	ear 	Southern Pa-Hng	mpɦi̯ɔ33
238	ear 	Hm-Nai	mpi̯au31
239	earth 	Western Xiangxi	lu5
240	earth 	Eastern Xiangxi	la11
241	earth 	Qiandong	ta1
242	earth 	Chuanqiandian	lua2
243	earth 	Diandongbei	la2 
244	earth 	Hmong Daw	a3
245	earth 	Hmong Njua	ʔaŋ2
246	earth 	Bunu	te1
247	earth 	Baonao	tei1
248	earth 	Numao	tɑ1
249	earth 	Longhua Jiongnai	ta44
250	earth 	Liuxiang Jiongnai	ta44
251	earth 	Xiaozhai Younuo	tou33
252	earth 	Huangluo Younuo	tou33
253	earth 	Northern Pa-Hng	lei33
254	earth 	Southern Pa-Hng	lɦe33
255	earth 	Hm-Nai	l̥ai13
256	eat 	Western Xiangxi	noŋ2
257	eat 	Eastern Xiangxi	naŋ31
258	eat 	Qiandong	noŋ2
259	eat 	Chuanqiandian	nao2
260	eat 	Diandongbei	na2
261	eat 	Hmong Daw	nɔ2
262	eat 	Hmong Njua	nao5
263	eat 	Bunu	nɔŋ2
264	eat 	Baonao	nɒ2
265	eat 	Numao	nou2
266	eat 	Longhua Jiongnai	naŋ33
267	eat 	Liuxiang Jiongnai	naŋ31
268	eat 	Xiaozhai Younuo	naŋ13
269	eat 	Huangluo Younuo	naŋ13
270	eat 	Northern Pa-Hng	naŋ33
271	eat 	Southern Pa-Hng	nɦɔ33
272	eat 	Hm-Nai	naŋ33
273	egg 	Western Xiangxi	nɯ6
274	egg 	Eastern Xiangxi	qu11
275	egg 	Qiandong	ki5
276	egg 	Chuanqiandian	qe5
277	egg 	Diandongbei	qa5
278	egg 	Hmong Daw	qe4
279	egg 	Hmong Njua	qay3
280	egg 	Bunu	ki̯e5
281	egg 	Baonao	ɕe5
282	egg 	Numao	ki̯ey5
283	egg 	Longhua Jiongnai	ki̯a35
284	egg 	Liuxiang Jiongnai	ki̯a22
285	egg 	Xiaozhai Younuo	kou35
286	egg 	Huangluo Younuo	kou35
287	egg 	Northern Pa-Hng	qo55
288	egg 	Southern Pa-Hng	qo55
289	egg 	Hm-Nai	qo55
290	fire 	Western Xiangxi	tɤ4
291	fire 	Eastern Xiangxi	ʎɔ31
292	fire 	Qiandong	tu4
293	fire 	Chuanqiandian	deu4
294	fire 	Diandongbei	toey4
295	fire 	Hmong Daw	tǝw5
296	fire 	Hmong Njua	taʉ6
297	fire 	Bunu	to4
298	fire 	Baonao	tiu4
299	fire 	Numao	to4
300	fire 	Longhua Jiongnai	tau31
301	fire 	Liuxiang Jiongnai	tɔ53
302	fire 	Xiaozhai Younuo	to22
303	fire 	Huangluo Younuo	tou22
304	fire 	Northern Pa-Hng	tou22
305	fire 	Southern Pa-Hng	tɦɤ31
306	fire 	Hm-Nai	tou22
307	fish 	Western Xiangxi	mɹɯ4
308	fish 	Eastern Xiangxi	myɯ33
309	fish 	Qiandong	nəu8
310	fish 	Chuanqiandian	ɳᶚe4
311	fish 	Diandongbei	mpə4
312	fish 	Hmong Daw	nǯe5
313	fish 	Hmong Njua	ɲ̌ǯe6
314	fish 	Bunu	mpi̯e4
315	fish 	Baonao	mpci4
316	fish 	Numao	mpi̯ey4
317	fish 	Longhua Jiongnai	mpi̯a31
318	fish 	Liuxiang Jiongnai	mpi̯a53
319	fish 	Xiaozhai Younuo	mi̯e22
320	fish 	Huangluo Younuo	muy22
321	fish 	Northern Pa-Hng	ni̯o2
322	fish 	Southern Pa-Hng	mpɦi̯o31
323	fish 	Hm-Nai	mpi̯o22
324	foot 	Western Xiangxi	l̥ɔ1
325	foot 	Eastern Xiangxi	ta33
326	foot 	Qiandong	lo1
327	foot 	Chuanqiandian	teu44
328	foot 	Diandongbei	toey5
329	foot 	Hmong Daw	tǝw4
330	foot 	Hmong Njua	taʉ3
331	foot 	Bunu	lau1
332	foot 	Baonao	tou5
333	foot 	Numao	to5
334	foot 	Longhua Jiongnai	l̥ey44
335	foot 	Liuxiang Jiongnai	l̥ay44
336	foot 	Xiaozhai Younuo	tu35
337	foot 	Huangluo Younuo	tou53
338	foot 	Northern Pa-Hng	lu35
339	foot 	Southern Pa-Hng	lʉ35
340	foot 	Hm-Nai	haŋ35
341	full 	Western Xiangxi	pe3
342	full 	Eastern Xiangxi	pe55
343	full 	Qiandong	pɛ3
344	full 	Chuanqiandian	po3
345	full 	Diandongbei	pu3
346	full 	Hmong Daw	pu3
347	full 	Hmong Njua	pu2
348	full 	Bunu	puŋ3
349	full 	Baonao	lay6
350	full 	Numao	puŋ3
351	full 	Longhua Jiongnai	paŋ53
352	full 	Liuxiang Jiongnai	pã35
353	full 	Xiaozhai Younuo	puŋ22
354	full 	Huangluo Younuo	pou22
355	full 	Northern Pa-Hng	paŋ22
356	full 	Southern Pa-Hng	pɔ̃31
357	full 	Hm-Nai	paŋ13
358	good 	Western Xiangxi	ʐu5
359	good 	Eastern Xiangxi	ʋ31
360	good 	Qiandong	ɣu5
361	good 	Chuanqiandian	ʐoŋ5
362	good 	Diandongbei	zao5
363	good 	Hmong Daw	žõ4
364	good 	Hmong Njua	žoŋ3
365	good 	Bunu	ɣaŋ5
366	good 	Baonao	ɣɔŋ5
367	good 	Numao	ɣou5
368	good 	Longhua Jiongnai	ŋɔuŋ35
369	good 	Liuxiang Jiongnai	ŋɔ22
370	good 	Xiaozhai Younuo	ŋ̩35
371	good 	Huangluo Younuo	ŋ̩53
372	good 	Northern Pa-Hng	nɛ44
373	good 	Southern Pa-Hng	ntɦɛ44
374	good 	Hm-Nai	yaŋ55
375	green 	Western Xiangxi	li̯o4
376	green 	Eastern Xiangxi	ʎɔ35
377	green 	Qiandong	niu4
378	green 	Chuanqiandian	nc̢ua1
379	green 	Diandongbei	nca1
380	green 	Hmong Daw	nǯu̯ǝ1
381	green 	Hmong Njua	ɲǯu̯a1
382	green 	Bunu	mpi̯u2
383	green 	Baonao	mpcau2
384	green 	Numao	mpi̯ɤ2
385	green 	Longhua Jiongnai	mpʰɔ44
386	green 	Liuxiang Jiongnai	wo21hu43
387	green 	Xiaozhai Younuo	li̯e31
388	green 	Huangluo Younuo	li̯u31
389	green 	Northern Pa-Hng	ni̯o35
390	green 	Southern Pa-Hng	mpi̯o35
391	green 	Hm-Nai	mpi̯o35
392	hand 	Western Xiangxi	tɯ4
393	hand 	Eastern Xiangxi	dɯ35
394	hand 	Qiandong	pi4
395	hand 	Chuanqiandian	dʰe4
396	hand 	Diandongbei	ti4
397	hand 	Hmong Daw	te5
398	hand 	Hmong Njua	te6
399	hand 	Bunu	pe4
400	hand 	Baonao	pey4
401	hand 	Numao	pɑ4
402	hand 	Longhua Jiongnai	ča31
403	hand 	Liuxiang Jiongnai	ča53
404	hand 	Xiaozhai Younuo	tʰou22
405	hand 	Huangluo Younuo	tʰou22
406	hand 	Northern Pa-Hng	pʋ22
407	hand 	Southern Pa-Hng	pɦʉ31
408	hand 	Hm-Nai	pu22
409	head 	Western Xiangxi	pɹei3
410	head 	Eastern Xiangxi	pɹei55
411	head 	Qiandong	qʰo1
412	head 	Chuanqiandian	həu5
413	head 	Diandongbei	fao3
414	head 	Hmong Daw	hɔw4
415	head 	Hmong Njua	hau3
416	head 	Bunu	fa3
417	head 	Baonao	vɦi̯a3
418	head 	Numao	kʰɑn1
419	head 	Longhua Jiongnai	ŋkau53
420	head 	Liuxiang Jiongnai	ŋkɔ35
421	head 	Xiaozhai Younuo	kʰɔ53
422	head 	Huangluo Younuo	kʰɔ53
423	head 	Northern Pa-Hng	toŋ33
424	head 	Southern Pa-Hng	ɕʉ55
425	head 	Hm-Nai	naŋ35
426	hear 	Western Xiangxi	toŋ5
427	hear 	Eastern Xiangxi	tʰɤ53
428	hear 	Qiandong	coŋ1
429	hear 	Chuanqiandian	noŋ6
430	hear 	Diandongbei	nao6
431	hear 	Hmong Daw	n̥ɔ3
432	hear 	Hmong Njua	nao2
433	hear 	Bunu	ɕəŋ5
434	hear 	Baonao	n̥i̯a3
435	hear 	Numao	n̥ey3
436	hear 	Longhua Jiongnai	n̥aŋ53
437	hear 	Liuxiang Jiongnai	n̥aŋ35
438	hear 	Xiaozhai Younuo	ɲuy35
439	hear 	Huangluo Younuo	ɲuy53
440	hear 	Northern Pa-Hng	n̥oŋ22
441	hear 	Southern Pa-Hng	n̥õ31
442	hear 	Hm-Nai	ma55
443	horn	Western Xiangxi	ki̯e1
444	horn	Eastern Xiangxi	kɯ53
445	horn	Qiandong	ki1
446	horn	Chuanqiandian	qǝu7
447	horn	Diandongbei	ku1
448	horn	Hmong Daw	ku1
449	horn	Hmong Njua	ku1
450	horn	Bunu	ki̯uŋ1
451	horn	Baonao	ɕɔ1
452	horn	Numao	kuŋ1
453	horn	Longhua Jiongnai	ki̯aŋ44
454	horn	Liuxiang Jiongnai	ki̯ã44
455	horn	Xiaozhai Younuo	kuŋ33
456	horn	Huangluo Younuo	ku33
457	horn	Northern Pa-Hng	qaŋ35
458	horn	Southern Pa-Hng	qɔ̃35
459	horn	Hm-Nai	qaŋ35
460	I 	Western Xiangxi	we4
461	I 	Eastern Xiangxi	we55
462	I 	Qiandong	vi4
463	I 	Chuanqiandian	ko3
464	I 	Diandongbei	ku3
465	I 	Hmong Daw	ku3
466	I 	Hmong Njua	ku2
467	I 	Bunu	ɕuŋ3
468	I 	Baonao	kou3
469	I 	Numao	ɕuŋ3
470	I 	Longhua Jiongnai	va31
471	I 	Liuxiang Jiongnai	wa53
472	I 	Xiaozhai Younuo	vɔ22
473	I 	Huangluo Younuo	vɔ22
474	I 	Northern Pa-Hng	vaŋ22
475	I 	Southern Pa-Hng	vɦ31
476	I 	Hm-Nai	waŋ22
477	kill 	Western Xiangxi	ta5 
478	kill 	Eastern Xiangxi	ta31
479	kill 	Qiandong	ta5
480	kill 	Chuanqiandian	tua5
481	kill 	Diandongbei	ta5
482	kill 	Hmong Daw	tu̯ǝ4
483	kill 	Hmong Njua	tu̯a3
484	kill 	Bunu	tɔ5
485	kill 	Baonao	tu5
486	kill 	Numao	puŋ6
487	kill 	Longhua Jiongnai	ta35
488	kill 	Liuxiang Jiongnai	ta22
489	kill 	Xiaozhai Younuo	tɔ35
490	kill 	Huangluo Younuo	tɔ53
491	kill 	Northern Pa-Hng	ta55
492	kill 	Southern Pa-Hng	ta55
493	kill 	Hm-Nai	ta55
494	know 	Western Xiangxi	ni̯ɛ̃4
495	know 	Eastern Xiangxi	pi53
496	know 	Qiandong	pu1
497	know 	Chuanqiandian	pəu1
498	know 	Diandongbei	pao1
499	know 	Hmong Daw	pɔw1
500	know 	Hmong Njua	pau1
501	know 	Bunu	pa1
502	know 	Baonao	pi̯a1
503	know 	Numao	pu1
504	know 	Longhua Jiongnai	pe44
505	know 	Liuxiang Jiongnai	pey44
506	know 	Xiaozhai Younuo	pɔ33
507	know 	Huangluo Younuo	pɔ33
508	know 	Northern Pa-Hng	pi35
509	know 	Southern Pa-Hng	pı35
510	know 	Hm-Nai	pi35
511	leaf 	Western Xiangxi	nu2
512	leaf 	Eastern Xiangxi	nu31
513	leaf 	Qiandong	nǝu2
514	leaf 	Chuanqiandian	mploŋ2
515	leaf 	Diandongbei	nƛao2
516	leaf 	Hmong Daw	mblõ2
517	leaf 	Hmong Njua	mbloŋ5
518	leaf 	Bunu	nƛaŋ2
519	leaf 	Baonao	nƛɔŋ2
520	leaf 	Numao	ƛi̯ou2
521	leaf 	Longhua Jiongnai	mplɔŋ33
522	leaf 	Liuxiang Jiongnai	mplaŋ31
523	leaf 	Xiaozhai Younuo	mi̯oŋ13
524	leaf 	Huangluo Younuo	mi̯oŋ13
525	leaf 	Northern Pa-Hng	ni̯aŋ33
526	leaf 	Southern Pa-Hng	mpɦi̯o33
527	leaf 	Hm-Nai	nuŋ33
528	long 	Western Xiangxi	ntɯ3
529	long 	Eastern Xiangxi	du55
530	long 	Qiandong	ta3
531	long 	Chuanqiandian	nte3
532	long 	Diandongbei	nti3
533	long 	Hmong Daw	nte3
534	long 	Hmong Njua	nde2
535	long 	Bunu	nte3
536	long 	Baonao	ntey3
537	long 	Numao	ntɑ3
538	long 	Longhua Jiongnai	ða53
539	long 	Liuxiang Jiongnai	la35
540	long 	Xiaozhai Younuo	nou22
541	long 	Huangluo Younuo	nau22
542	long 	Northern Pa-Hng	to22
543	long 	Southern Pa-Hng	to31
544	long 	Hm-Nai	to13
545	louse 	Western Xiangxi	te3
546	louse 	Eastern Xiangxi	te55
547	louse 	Qiandong	ɕhu3
548	louse 	Chuanqiandian	to3
549	louse 	Diandongbei	ɳc̢ʰao3
550	louse 	Hmong Daw	nčʰɔw3
551	louse 	Hmong Njua	ɲčʰau2
552	louse 	Bunu	tuŋ3
553	louse 	Baonao	tɔ3
554	louse 	Numao	tuŋ3
555	louse 	Longhua Jiongnai	taŋ53
556	louse 	Liuxiang Jiongnai	tã35
557	louse 	Xiaozhai Younuo	tuŋ22
558	louse 	Huangluo Younuo	tuŋ22
559	louse 	Northern Pa-Hng	naŋ22
560	louse 	Southern Pa-Hng	nɔ̃31
561	louse 	Hm-Nai	ntaŋ13
562	many 	Western Xiangxi	l̥i̯o1
563	many 	Eastern Xiangxi	ɕɯ53
564	many 	Qiandong	no5
565	many 	Chuanqiandian	ntəu5
566	many 	Diandongbei	ɕao1
567	many 	Hmong Daw	ndɔw4
568	many 	Hmong Njua	ndau3
569	many 	Bunu	ntau5
570	many 	Baonao	ntaə5
571	many 	Numao	ntöy5
572	many 	Longhua Jiongnai	ntey35
573	many 	Liuxiang Jiongnai	ntay22
574	many 	Xiaozhai Younuo	tʰeŋ33
575	many 	Huangluo Younuo	au53
576	many 	Northern Pa-Hng	ɕaŋ35
577	many 	Southern Pa-Hng	ɕɔ̃35
578	many 	Hm-Nai	ɕuŋ35
579	meat 	Western Xiangxi	ni̯ä2
580	meat 	Eastern Xiangxi	ŋa31
581	meat 	Qiandong	ŋi2
582	meat 	Chuanqiandian	nqa2
583	meat 	Diandongbei	qay2
584	meat 	Hmong Daw	nqay2
585	meat 	Hmong Njua	ŋɢa5
586	meat 	Bunu	ŋka2
587	meat 	Baonao	ŋki̯a2
588	meat 	Numao	ŋkɑ2
589	meat 	Longhua Jiongnai	ŋkay33
590	meat 	Liuxiang Jiongnai	ŋkɛ31
591	meat 	Xiaozhai Younuo	pe33
592	meat 	Huangluo Younuo	pe33
593	meat 	Northern Pa-Hng	ŋɛ33
594	meat 	Southern Pa-Hng	ɴqɦɛ33
595	meat 	Hm-Nai	ɴqai33
596	moon 	Western Xiangxi	l̥a4
597	moon 	Eastern Xiangxi	ɭ̥ʰa31
598	moon 	Qiandong	l̥ʰa5
599	moon 	Chuanqiandian	ɬi5
600	moon 	Diandongbei	l̥i7
601	moon 	Hmong Daw	l̥i4
602	moon 	Hmong Njua	ɬi3
603	moon 	Bunu	ɬo5
604	moon 	Baonao	lʰou5
605	moon 	Numao	l̥o5
606	moon 	Longhua Jiongnai	l̥e35 
607	moon 	Liuxiang Jiongnai	l̥ei22
608	moon 	Xiaozhai Younuo	la35
609	moon 	Huangluo Younuo	la53
610	moon 	Northern Pa-Hng	l̥a55qa22
611	moon 	Southern Pa-Hng	l̥a55
612	moon 	Hm-Nai	l̥a55
613	mouth 	Western Xiangxi	lo5
614	mouth 	Eastern Xiangxi	pa35
615	mouth 	Qiandong	lo5
616	mouth 	Chuanqiandian	nɕəu2
617	mouth 	Diandongbei	ɕao2
618	mouth 	Hmong Daw	ɲʓɔw2
619	mouth 	Hmong Njua	ɲʓau5
620	mouth 	Bunu	nɕu2
621	mouth 	Baonao	ɲɕau2
622	mouth 	Numao	lɑu5
623	mouth 	Longhua Jiongnai	nti̯ɔ33
624	mouth 	Liuxiang Jiongnai	nti̯eu31
625	mouth 	Xiaozhai Younuo	li̯o33
626	mouth 	Huangluo Younuo	li̯o33
627	mouth 	Northern Pa-Hng	la55
628	mouth 	Southern Pa-Hng	la55
629	mouth 	Hm-Nai	la55
630	name 	Western Xiangxi	mpu5
631	name 	Eastern Xiangxi	bu31
632	name 	Qiandong	pi5
633	name 	Chuanqiandian	mpe5
634	name 	Diandongbei	nci5
635	name 	Hmong Daw	mbe4
636	name 	Hmong Njua	mbe3
637	name 	Bunu	mpe5
638	name 	Baonao	mpey5
639	name 	Numao	mpɑ5
640	name 	Longhua Jiongnai	mpa35
641	name 	Liuxiang Jiongnai	mpa22
642	name 	Xiaozhai Younuo	mu53
643	name 	Huangluo Younuo	mu53
644	name 	Northern Pa-Hng	mu55
645	name 	Southern Pa-Hng	mpo55
646	name 	Hm-Nai	mi̯aŋ33
647	new 	Western Xiangxi	 ʆɛ̃1
648	new 	Eastern Xiangxi	se53
649	new 	Qiandong	xhi1
650	new 	Chuanqiandian	c̢ʰa1
651	new 	Diandongbei	c̢ʰie1
652	new 	Hmong Daw	čʰi̯a1
653	new 	Hmong Njua	čʰa1
654	new 	Bunu	sʰiŋ1
655	new 	Baonao	sʰay1
656	new 	Numao	ʆi1
657	new 	Longhua Jiongnai	ŋkʰeŋ44
658	new 	Liuxiang Jiongnai	heŋ44
659	new 	Xiaozhai Younuo	sən33
660	new 	Huangluo Younuo	l̥ǝn53
661	new 	Northern Pa-Hng	mu55
662	new 	Southern Pa-Hng	sẽ35
663	new 	Hm-Nai	ʆiŋ35
664	nose 	Western Xiangxi	mɹɤ6
665	nose 	Eastern Xiangxi	mi̯a11
666	nose 	Qiandong	nɛ6
667	nose 	Chuanqiandian	ɳᶚu6
668	nose 	Diandongbei	mpü6
669	nose 	Hmong Daw	nǯɨ6
670	nose 	Hmong Njua	ɲǯʉ6
671	nose 	Bunu	mpi̯au6
672	nose 	Baonao	mpcǝ6
673	nose 	Numao	mpü6
