ID	DOCULECT	CONCEPT	CONCEPT_ID	GLOTTOLOG	WORD_IS	SEGMENTS_IS	SEGMENTS	COG	COGID
1487	Qiandong	snake	106	east2369	naŋ1	n a ŋ 1	n a ŋ ¹/	106-1	16
1488	Chuanqiandian	snake	106	nort3244	naŋ1	n a ŋ 1	n a ŋ ¹/	106-1	16
1489	Diandongbei	snake	106	larg1235	pi1=naɯ1	p i 1 = n a ɯ 1	p i ¹/ + n a ɯ ¹/	106-1	16
1490	Hmong Daw	snake	106	hmon1333	na1	n a 1	n a ¹/	106-1	16
1491	Hmong Njua	snake	106	hmon1264	naŋ1	n a ŋ 1	n a ŋ ¹/	106-1	16
1492	Bunu	snake	106	buna1273	nǝŋ1	n ǝ ŋ 1	n ǝ ŋ ¹/	106-1	16
1493	Baonao	snake	106	buna1273	nɒ1	n ɒ 1	n ɒ ¹/	106-1	16
1494	Numao	snake	106	numa1251	nɑn1	n ɑ n 1	n ɑ n ¹/	106-1	16
1495	Longhua Jiongnai	snake	106	jion1236	nen44	n e n 44	n e n ⁴⁴	106-1	16
1496	Liuxiang Jiongnai	snake	106	jion1236	nan44	n a n 44	n a n ⁴⁴	106-1	16
1497	Xiaozhai Younuo	snake	106	youn1235	kau35=ni33	k au 35 = n i 33	k a u ³⁵ + n i ³³	106-1	16
1498	Huangluo Younuo	snake	106	youn1235	ni33	n i 33	n i ³³	106-1	16
1499	Northern Pa-Hng	snake	106	pahn1237	neŋ35	n e ŋ 35	n e ŋ ³⁵	106-1	16
1500	Southern Pa-Hng	snake	106	pahn1237	ŋ̩31=nẽ35	ŋ̩ 31 = n ẽ 35	ŋ̩ ³¹ + n ẽ ³⁵	106-1	16
1501	Hm-Nai	snake	106	wuna1248	n̩22=nɯŋ35	n̩ 22 = n ɯ ŋ 35	n̩ ²² + n ɯ ŋ ³⁵	106-1	16
1098	Western Xiangxi	stand	79	nort2748	ʆɤ3	ʆ ɤ 3	ɕ ɤ ³/	79-1	243
1099	Qiandong	stand	79	east2369	ʃʰu3	ʃʰ u 3	ɕʰ u ³/	79-1	243
1100	Hmong Daw	stand	79	hmon1333	šǝw3	š ǝ w 3	ʃ ǝ w ³/	79-1	243
1101	Hmong Njua	stand	79	hmon1264	šaʉ2-ɲǯu6	š a ʉ 2 - ɲ ǯ u 6	ʃ a ʉ ²/ + ɲ dʒ u ⁶/	79-1	243
1102	Bunu	stand	79	buna1273	sʰo3	sʰ o 3	sʰ o ³/	79-1	243
1103	Baonao	stand	79	buna1273	sʰou3	sʰ o u 3	sʰ o u ³/	79-1	243
1104	Numao	stand	79	numa1251	sɑu6	s ɑ u 6	s ɑ u ⁶/	79-1	243
1105	Longhua Jiongnai	stand	79	jion1236	θi̯au53	θ i̯ au 53	θ j a u ⁵³	79-1	243
1106	Liuxiang Jiongnai	stand	79	jion1236	θɔ35	θ ɔ 35	θ ɔ ³⁵	79-1	243
1107	Xiaozhai Younuo	stand	79	youn1235	so22	s o 22	s o ²²	79-1	243
1108	Huangluo Younuo	stand	79	youn1235	so22	s o 22	s o ²²	79-1	243
1109	Northern Pa-Hng	stand	79	pahn1237	ɕa44	ɕ a 44	tɕ a ⁴⁴	79-2	244
1110	Southern Pa-Hng	stand	79	pahn1237	ɕɦa44	ɕɦ a 44	tɕʰ a ⁴⁴	79-2	244
1111	Hm-Nai	stand	79	wuna1248	ʆou13	ʆ o u 13	ɕ o u ¹³	79-1	243
1112	Western Xiangxi	star	80	nort2748	te1=qe1-l̥a5	t e 1 = q e 1 - l̥ a 5	t e ¹/ + q e ¹/ + l̥ a ⁵/	80-1	246
1113	Eastern Xiangxi	star	80	east2371	qei53	q e i 53	q e i ⁵³	80-1	246
1114	Qiandong	star	80	east2369	tɛ1=qɛ1	t ɛ 1 = q ɛ 1	t ɛ ¹/ + q ɛ ¹/	80-1	246
1115	Chuanqiandian	star	80	nort3244	n̥o1=qo1	n̥ o 1 = q o 1	n̥ o ¹/ + q o ¹/	80-1	246
1116	Diandongbei	star	80	larg1235	n̥u1=qu1	n̥ u 1 = q u 1	n̥ u ¹/ + q u ¹/	80-1	246
1117	Hmong Daw	star	80	hmon1333	n̥u1=qu1	n̥ u 1 = q u 1	n̥ u ¹/ + q u ¹/	80-1	246
1118	Hmong Njua	star	80	hmon1264	nu1=qu1	n u 1 = q u 1	n u ¹/ + q u ¹/	80-1	246
1119	Bunu	star	80	buna1273	ɕe1=kuŋ1	ɕ e 1 = k u ŋ 1	tɕ e ¹/ + k u ŋ ¹/	80-1	246
1120	Baonao	star	80	buna1273	tɔ1=kɔ1	t ɔ 1 = k ɔ 1	t ɔ ¹/ + k ɔ ¹/	80-1	246
1121	Numao	star	80	numa1251	kuŋ1	k u ŋ 1	k u ŋ ¹/	80-1	246
1122	Longhua Jiongnai	star	80	jion1236	ka44=ntaŋ44	k a 44 = n t a ŋ 44	k a ⁴⁴ + n t a ŋ ⁴⁴	80-2	247
1123	Liuxiang Jiongnai	star	80	jion1236	ka44=ntaŋ44	k a 44 = n t a ŋ 44	k a ⁴⁴ + n t a ŋ ⁴⁴	80-2	247
1124	Xiaozhai Younuo	star	80	youn1235	l̥in33-tay35	l̥ i n 33 - t a y 35	l̥ i n ³³ + t a j ³⁵	80-3	248
1125	Huangluo Younuo	star	80	youn1235	lin33-tay53	l i n 33 - t a y 53	l i n ³³ + t a j ⁵³	80-3	248
1126	Northern Pa-Hng	star	80	pahn1237	a33=qaŋ35	a 33 = q a ŋ 35	a ³³ + q a ŋ ³⁵	80-1	246
1127	Southern Pa-Hng	star	80	pahn1237	a44=qɔ̃35	a 44 = q ɔ̃ 35	a ⁴⁴ + q ɔ̃ ³⁵	80-1	246
1128	Hm-Nai	star	80	wuna1248	naŋ35=qaŋ35	n a ŋ 35 = q a ŋ 35	n a ŋ ³⁵ + q a ŋ ³⁵	80-1	246
1129	Western Xiangxi	stone	81	nort2748	qo1=ʐɯ1	q o 1 =ʐ ɯ 1	q o ¹/ → ʐ ɯ ¹/	81-1	249
1130	Eastern Xiangxi	stone	81	east2371	qu53=ʋ53	q u 53 = ʋ 53	q u ⁵³ + ʋ ⁵³	81-1	249
1131	Qiandong	stone	81	east2369	po3=ɣi1	p o 3 = ɣ i 1	p o ³/ + ɣ i ¹/	81-1	249
1132	Chuanqiandian	stone	81	nort3244	ʐe1	ʐ e 1	ʐ e ¹/	81-1	249
1133	Diandongbei	stone	81	larg1235	a1=vǝ1	a 1 = v ǝ 1	a ¹/ + v ǝ ¹/	81-1	249
1134	Hmong Daw	stone	81	hmon1333	pɔ1=že1	p ɔ 1 = ž e 1	p ɔ ¹/ + ʒ e ¹/	81-1	249
1135	Hmong Njua	stone	81	hmon1264	že1	ž e 1	ʒ e ¹/	81-1	249
1136	Bunu	stone	81	buna1273	fa3=ɣe1	f a 3 = ɣ e 1	f a ³/ + ɣ e ¹/	81-1	249
1137	Baonao	stone	81	buna1273	ɣey1	ɣ e y 1	ɣ e j ¹/	81-1	249
1138	Numao	stone	81	numa1251	ɣey1	ɣ e y 1	ɣ e j ¹/	81-1	249
1139	Longhua Jiongnai	stone	81	jion1236	ŋki̯a44	ŋ k i̯ a 44	ŋ k j a ⁴⁴	81-1	249
1140	Liuxiang Jiongnai	stone	81	jion1236	ʑa44	ʑ a 44	ʑ a ⁴⁴	81-1	249
1141	Xiaozhai Younuo	stone	81	youn1235	ha22=vi̯e33	h a 22 = v i̯ e 33	h a ²² + v j e ³³	81-1	249
1142	Huangluo Younuo	stone	81	youn1235	ha22=vey33	h a 22 = v e y 33	h a ²² + v e j ³³	81-1	249
1143	Northern Pa-Hng	stone	81	pahn1237	qa22=yo35	q a 22 = y o 35	q a ²² + j o ³⁵	81-1	249
1144	Southern Pa-Hng	stone	81	pahn1237	qa31=yo35	q a 31 = y o 35	q a ³¹ + j o ³⁵	81-1	249
1145	Hm-Nai	stone	81	wuna1248	nti̯ou33=ci13=yo35	n t i̯ o u 33 = c i 13 = y o 35	n t j o u ³³ + ts i ¹³ + j o ³⁵	81-1	249
1146	Western Xiangxi	sun	82	nort2748	n̥e1	n̥ e 1	n̥ e ¹/	82-1	250
1147	Eastern Xiangxi	sun	82	east2371	qʰa35=n̥ʰe53	qʰ a 35 = n̥ʰ e 53	qʰ a ³⁵ + n̥ʰ e ⁵³	82-1	250
1148	Qiandong	sun	82	east2369	n̥ʰɛ1	n̥ʰ ɛ 1	n̥ʰ ɛ ¹/	82-1	250
1149	Chuanqiandian	sun	82	nort3244	n̥o1	n̥ o 1	n̥ o ¹/	82-1	250
1150	Diandongbei	sun	82	larg1235	lu1=n̥u1	l u 1 = n̥ u 1	l u ¹/ + n̥ u ¹/	82-1	250
1151	Hmong Daw	sun	82	hmon1333	n̥u1	n̥ u 1	n̥ u ¹/	82-1	250
1152	Hmong Njua	sun	82	hmon1264	nu1	n u 1	n u ¹/	82-1	250
1153	Bunu	sun	82	buna1273	po3=n̥ɔŋ1	p o 3 = n̥ ɔ ŋ 1	p o ³/ + n̥ ɔ ŋ ¹/	82-1	250
1154	Baonao	sun	82	buna1273	vei3=n̥ɒ1	v e i 3 = n̥ ɒ 1	v e i ³/ + n̥ ɒ ¹/	82-1	250
1155	Numao	sun	82	numa1251	tau2=ŋkau1	t au 2 = ŋ k au 1	t a u ²/ + ŋ k a u ¹/	82-2	251
1156	Longhua Jiongnai	sun	82	jion1236	ntoŋ22	n t o ŋ 22	n t o ŋ ²²	82-1	250
1157	Liuxiang Jiongnai	sun	82	jion1236	ntoŋ21	n t o ŋ 21	n t o ŋ ²¹	82-1	250
1158	Xiaozhai Younuo	sun	82	youn1235	ha31=nɔ33	h a 31 = n ɔ 33	h a ³¹ + n ɔ ³³	82-1	250
1159	Huangluo Younuo	sun	82	youn1235	ha31=nɔ33	h a 31 = n ɔ 33	h a ³¹ + n ɔ ³³	82-1	250
1160	Northern Pa-Hng	sun	82	pahn1237	a33=l̥a55=qa22=n̥ei35	a 33 = l̥ a 55 = q a 22 = n̥ e i 35	a ³³ + l̥ a ⁵⁵ + q a ²² + n̥ e i ³⁵	82-1	250
1161	Southern Pa-Hng	sun	82	pahn1237	a44=ɔ̃35=n̥e35	a 44 = ɔ̃ 35 = n̥ e 35	a ⁴⁴ + ɔ̃ ³⁵ + n̥ e ³⁵	82-1	250
1162	Hm-Nai	sun	82	wuna1248	naŋ35=n̥e35	n a ŋ 35 = n̥ e 35	n a ŋ ³⁵ + n̥ e ³⁵	82-1	250
1163	Western Xiangxi	swim	83	nort2748	naŋ3-u1	n a ŋ 3 - u 1	n a ŋ ³/ + u ¹/	83-1	252
1164	Eastern Xiangxi	swim	83	east2371	ɳaŋ55-ʋ53	ɳ a ŋ 55 - ʋ 53	ɳ a ŋ ⁵⁵ + ʋ ⁵³	83-1	252
1165	Qiandong	swim	83	east2369	loŋ3-ǝu1	l o ŋ 3 - ǝ u 1	l o ŋ ³/ + ǝ u ¹/	83-1	252
1166	Chuanqiandian	swim	83	nort3244	lua8	l u a 8	l u a ⁸/	83-1	252
1167	Diandongbei	swim	83	larg1235	la8-ao8	l a 8 - a o 8	l a ⁸/ + a o ⁸/	83-1	252
1168	Hmong Daw	swim	83	hmon1333	u̯ǝ4=lu̯ǝ7-ʼde2	u̯ ǝ 4 = l u̯ ǝ 7 - ʼd e 2	w ǝ ⁴/ + l w ǝ ⁷/ + ˀd e ²/	83-1	252
1169	Hmong Njua	swim	83	hmon1264	lu̯a7-ƛe5	l u̯ a 7 - ƛ e 5	l w a ⁷/ + tɬ e ⁵/	83-1	252
1170	Western Xiangxi	tail	84	nort2748	pi3=tɤ3	p i 3 = t ɤ 3	p i ³/ + t ɤ ³/	84-1	253
1171	Eastern Xiangxi	tail	84	east2371	ti35=ta33	t i 35 = t a 33	t i ³⁵ + t a ³³	84-1	253
1172	Qiandong	tail	84	east2369	qa1=tɛ3	q a 1 = t ɛ 3	q a ¹/ + t ɛ ³/	84-1	253
1173	Chuanqiandian	tail	84	nort3244	ku5=du3	k u 5 = d u 3	k u ⁵/ + d u ³/	84-1	253
1174	Diandongbei	tail	84	larg1235	a3=caɯ4	a 3 = c a ɯ 4	a ³/ + ts a ɯ ⁴/	84-2	254
1175	Hmong Daw	tail	84	hmon1333	kɔ4=tɨ4	k ɔ 4 = t ɨ 4	k ɔ ⁴/ + t ɨ ⁴/	84-1	253
1176	Hmong Njua	tail	84	hmon1264	qʉ3=tʉ2	q ʉ 3 = t ʉ 2	q ʉ ³/ + t ʉ ²/	84-1	253
1177	Bunu	tail	84	buna1273	tau3	t au 3	t a u ³/	84-1	253
1178	Baonao	tail	84	buna1273	kǝ3=cǝ3	k ǝ 3 = c ǝ 3	k ǝ ³/ + ts ǝ ³/	84-1	253
1179	Numao	tail	84	numa1251	töy3	t ö y 3	t œ j ³/	84-1	253
1180	Longhua Jiongnai	tail	84	jion1236	ðau53	ð au 53	ð a u ⁵³	84-1	253
1181	Liuxiang Jiongnai	tail	84	jion1236	lɔ35	l ɔ 35	l ɔ ³⁵	84-1	253
1182	Xiaozhai Younuo	tail	84	youn1235	kǝ33=te22	k ǝ 33 = t e 22	k ǝ ³³ + t e ²²	84-1	253
1183	Huangluo Younuo	tail	84	youn1235	kǝ33=te22	k ǝ 33 = t e 22	k ǝ ³³ + t e ²²	84-1	253
1184	Northern Pa-Hng	tail	84	pahn1237	tai33=tai22	t a i 33 = t a i 22	t a i ³³ + t a i ²²	84-1	253
1185	Southern Pa-Hng	tail	84	pahn1237	tɦɤ33=tɤ31	tɦ ɤ 33 = t ɤ 31	tʰ ɤ ³³ + t ɤ ³¹	84-1	253
1186	Hm-Nai	tail	84	wuna1248	tei33=tei13	t e i 33 = t e i 13	t e i ³³ + t e i ¹³	84-1	253
1187	Western Xiangxi	that1	85	nort2748	ä3	ä 3	æ ³/	85-1	255
1188	Eastern Xiangxi	that1	85	east2371	tɛ55=ɛ55	t ɛ 55 = ɛ 55	t ɛ ⁵⁵ + ɛ ⁵⁵	85-1	255
1189	Qiandong	that1	85	east2369	i3	i 3	i ³/	85-1	255
1190	Chuanqiandian	that1	85	nort3244	ʔi3	ʔ i 3	ʔ i ³/	85-1	255
1191	Diandongbei	that1	85	larg1235	tʰao5	tʰ a o 5	tʰ a o ⁵/	85-2	257
1192	Hmong Daw	that1	85	hmon1333	ndǝw8	n d ǝ w 8	n d ǝ w ⁸/	85-2	257
1193	Hmong Njua	that1	85	hmon1264	ndaʉ7	n d a ʉ 7	n d a ʉ ⁷/	85-2	257
1194	Bunu	that1	85	buna1273	uŋ1	u ŋ 1	u ŋ ¹/	85-3	258
1195	Baonao	that1	85	buna1273	ɔ1	ɔ 1	ɔ ¹/	85-3	258
1196	Numao	that1	85	numa1251	yi4	y i 4	j i ⁴/	85-1	255
1197	Longhua Jiongnai	that1	85	jion1236	mi44	m i 44	m i ⁴⁴	85-9	262
1198	Liuxiang Jiongnai	that1	85	jion1236	mi44	m i 44	m i ⁴⁴	85-9	262
1199	Xiaozhai Younuo	that1	85	youn1235	ni31	n i 31	n i ³¹	85-5	260
1200	Huangluo Younuo	that1	85	youn1235	ni22	n i 22	n i ²²	85-5	260
1201	Northern Pa-Hng	that1	85	pahn1237	ŋ̩55	ŋ̩ 55	ŋ̩ ⁵⁵	85-10	256
1202	Southern Pa-Hng	that1	85	pahn1237	ŋ̩55	ŋ̩ 55	ŋ̩ ⁵⁵	85-10	256
1203	Hm-Nai	that1	85	wuna1248	wo55	w o 55	w o ⁵⁵	85-10	256
1204	Western Xiangxi	that2	85	nort2748	ʑi1	ʑ i 1	ʑ i ¹/	85-4	259
1205	Qiandong	that2	85	east2369	nen3	n e n 3	n e n ³/	85-5	260
1206	Diandongbei	that2	85	larg1235	ɳc̢i7	ɳ c̢ i 7	ɳ tʂ i ⁷/	85-6	261
1502	Western Xiangxi	thin	107	nort2748	ʆu1	ʆ u 1	ɕ u ¹/	107-1	17
1503	Eastern Xiangxi	thin	107	east2371	ʆi35	ʆ i 35	ɕ i ³⁵	107-1	17
1504	Hmong Daw	thin	107	hmon1333	ɲi̯a5	ɲ i̯ a 5	ɲ j a ⁵/	107-2	18
1505	Hmong Njua	thin	107	hmon1264	ɲa6	ɲ a 6	ɲ a ⁶/	107-2	18
1506	Bunu	thin	107	buna1273	sʰaŋ1	sʰ a ŋ 1	sʰ a ŋ ¹/	107-3	19
1507	Baonao	thin	107	buna1273	mǝ4	m ǝ 4	m ǝ ⁴/	107-4	20
1508	Numao	thin	107	numa1251	ncʰɑy3	n cʰ ɑ y 3	n tsʰ ɑ j ³/	107-5	21
1509	Longhua Jiongnai	thin	107	jion1236	ɲiŋ31	ɲ i ŋ 31	ɲ i ŋ ³¹	107-2	18
1510	Liuxiang Jiongnai	thin	107	jion1236	ɲiŋ53	ɲ i ŋ 53	ɲ i ŋ ⁵³	107-2	18
1511	Xiaozhai Younuo	thin	107	youn1235	ɲi22	ɲ i 22	ɲ i ²²	107-2	18
1512	Huangluo Younuo	thin	107	youn1235	ɲi22	ɲ i 22	ɲ i ²²	107-2	18
1513	Northern Pa-Hng	thin	107	pahn1237	ɲi22	ɲ i 22	ɲ i ²²	107-2	18
1514	Southern Pa-Hng	thin	107	pahn1237	ɲɦı31	ɲɦ ı 31	ɲʱ i ³¹	107-2	18
1515	Hm-Nai	thin	107	wuna1248	n̩22	n̩ 22	n̩ ²²	107-2	18
1207	Western Xiangxi	this	86	nort2748	nen3	n e n 3	n e n ³/	86-1	263
1208	Eastern Xiangxi	this	86	east2371	ne55	n e 55	n e ⁵⁵	86-1	263
1209	Qiandong	this	86	east2369	noŋ3	n o ŋ 3	n o ŋ ³/	86-1	263
1210	Chuanqiandian	this	86	nort3244	na3	n a 3	n a ³/	86-1	263
1211	Diandongbei	this	86	larg1235	ni3	n i 3	n i ³/	86-1	263
1212	Hmong Daw	this	86	hmon1333	nɔ4	n ɔ 4	n ɔ ⁴/	86-1	263
1213	Hmong Njua	this	86	hmon1264	nu̯a2	n u̯ a 2	n w a ²/	86-1	263
1214	Bunu	this	86	buna1273	nɔŋ3	n ɔ ŋ 3	n ɔ ŋ ³/	86-1	263
1215	Baonao	this	86	buna1273	naǝ3	n a ǝ 3	n a ǝ ³/	86-1	263
1216	Numao	this	86	numa1251	ney3	n e y 3	n e j ³/	86-1	263
1217	Longhua Jiongnai	this	86	jion1236	ne53	n e 53	n e ⁵³	86-1	263
1218	Liuxiang Jiongnai	this	86	jion1236	ni35	n i 35	n i ³⁵	86-1	263
1219	Xiaozhai Younuo	this	86	youn1235	no22	n o 22	n o ²²	86-1	263
1220	Huangluo Younuo	this	86	youn1235	no22	n o 22	n o ²²	86-1	263
1221	Northern Pa-Hng	this	86	pahn1237	ŋ̩22	ŋ̩ 22	ŋ̩ ²²	86-1	263
1222	Southern Pa-Hng	this	86	pahn1237	ŋ̩31	ŋ̩ 31	ŋ̩ ³¹	86-1	263
1223	Hm-Nai	this	86	wuna1248	ne13	n e 13	n e ¹³	86-1	263
1224	Western Xiangxi	thou	87	nort2748	mɯ2	m ɯ 2	m ɯ ²/	87-1	264
1225	Eastern Xiangxi	thou	87	east2371	mu31	m u 31	m u ³¹	87-1	264
1226	Qiandong	thou	87	east2369	moŋ2	m o ŋ 2	m o ŋ ²/	87-1	264
1227	Chuanqiandian	thou	87	nort3244	ne2	n e 2	n e ²/	87-2	265
1228	Diandongbei	thou	87	larg1235	ɕü6	ɕ ü 6	tɕ y ⁶/	87-3	266
1229	Hmong Daw	thou	87	hmon1333	kɔ2	k ɔ 2	k ɔ ²/	87-4	267
1230	Hmong Njua	thou	87	hmon1264	kao5	k a o 5	k a o ⁵/	87-4	267
1231	Bunu	thou	87	buna1273	kau2	k au 2	k a u ²/	87-4	267
1232	Baonao	thou	87	buna1273	kǝ2	k ǝ 2	k ǝ ²/	87-4	267
1233	Numao	thou	87	numa1251	köy2	k ö y 2	k œ j ²/	87-4	267
1234	Longhua Jiongnai	thou	87	jion1236	maŋ33	m a ŋ 33	m a ŋ ³³	87-1	264
1235	Liuxiang Jiongnai	thou	87	jion1236	mǝŋ31	m ǝ ŋ 31	m ǝ ŋ ³¹	87-1	264
1236	Xiaozhai Younuo	thou	87	youn1235	ŋ̩13	ŋ̩ 13	ŋ̩ ¹³	87-1	264
1237	Huangluo Younuo	thou	87	youn1235	ŋ̩13	ŋ̩ 13	ŋ̩ ¹³	87-1	264
1238	Northern Pa-Hng	thou	87	pahn1237	mu33	m u 33	m u ³³	87-1	264
1239	Southern Pa-Hng	thou	87	pahn1237	mɦʉ33	mɦ ʉ 33	mʱ ʉ ³³	87-1	264
1240	Hm-Nai	thou	87	wuna1248	m̩31	m̩ 31	m̥ ³¹	87-1	264
1241	Western Xiangxi	tongue	88	nort2748	qo1=mi̯a4	q o 1 = m i̯ a 4	q o ¹/ + m j a ⁴/	88-1	268
1242	Western Xiangxi	tooth	89	nort2748	qo1=ʆɛ̃3	q o 1 = ʆ ɛ̃ 3	q o ¹/ + ɕ ɛ̃ ³/	89-1	269
1243	Eastern Xiangxi	tooth	89	east2371	qu53=sɛ55	q u 53 =s ɛ 55	q u ⁵³ + s ɛ ⁵⁵	89-1	269
1244	Qiandong	tooth	89	east2369	m̥ʰi3	m̥ʰ i 3	m̥ʰ i ³/	89-2	270
1245	Chuanqiandian	tooth	89	nort3244	na3	n a 3	n a ³/	89-2	270
1246	Diandongbei	tooth	89	larg1235	n̥ie3	n̥ i e 3	n̥ i e ³/	89-2	270
1247	Hmong Daw	tooth	89	hmon1333	n̥i̯a3	n̥ i̯ a 3	n̥ j a ³/	89-2	270
1248	Hmong Njua	tooth	89	hmon1264	na2	n a 2	n a ²/	89-2	270
1249	Bunu	tooth	89	buna1273	fa3=m̥iŋ3	f a 3 = m̥ i ŋ 3	f a ³/ + m̥ i ŋ ³/	89-2	270
1250	Baonao	tooth	89	buna1273	m̥ay3	m̥ a y 3	m̥ a j ³/	89-2	270
1251	Numao	tooth	89	numa1251	m̥ɑy3	m̥ ɑ y 3	m̥ ɑ j ³/	89-2	270
1252	Longhua Jiongnai	tooth	89	jion1236	m̥ay53	m̥ a y 53	m̥ a j ⁵³	89-2	270
1253	Liuxiang Jiongnai	tooth	89	jion1236	m̥ɛ35	m̥ ɛ 35	m̥ ɛ ³⁵	89-2	270
1254	Xiaozhai Younuo	tooth	89	youn1235	fun22	f u n 22	f u n ²²	89-3	271
1255	Huangluo Younuo	tooth	89	youn1235	fun22	f u n 22	f u n ²²	89-3	271
1256	Northern Pa-Hng	tooth	89	pahn1237	qa44=ɲ̥i22	q a 44 = ɲ̥ i 22	q a ⁴⁴ + ɲ̥ i ²²	89-2	270
1257	Southern Pa-Hng	tooth	89	pahn1237	m̥ı31	m̥ ı 31	m̥ i ³¹	89-2	270
1258	Hm-Nai	tooth	89	wuna1248	tei33=m̥iŋ13	t e i 33 = m̥ i ŋ 13	t e i ³³ + m̥ i ŋ ¹³	89-2	270
1259	Western Xiangxi	tree	90	nort2748	qo1=ntu5	q o 1 = n t u 5	q o ¹/ + n t u ⁵/	90-1	273
1260	Eastern Xiangxi	tree	90	east2371	dɔ31	d ɔ 31	d ɔ ³¹	90-1	273
1261	Qiandong	tree	90	east2369	tǝu5	t ǝ u 5	t ǝ u ⁵/	90-1	273
1262	Chuanqiandian	tree	90	nort3244	ntoŋ5	n t o ŋ 5	n t o ŋ ⁵/	90-1	273
1263	Diandongbei	tree	90	larg1235	ntao5	n t a o 5	n t a o ⁵/	90-1	273
1264	Hmong Daw	tree	90	hmon1333	ndõ4	n d õ 4	n d õ ⁴/	90-1	273
1265	Hmong Njua	tree	90	hmon1264	ndoŋ3	n d o ŋ 3	n d o ŋ ³/	90-1	273
1266	Bunu	tree	90	buna1273	ntaŋ5	n t a ŋ 5	n t a ŋ ⁵/	90-1	273
1267	Baonao	tree	90	buna1273	ntɔŋ5	n t ɔ ŋ 5	n t ɔ ŋ ⁵/	90-1	273
1268	Numao	tree	90	numa1251	ntou5	n t o u 5	n t o u ⁵/	90-1	273
1269	Longhua Jiongnai	tree	90	jion1236	ntɔuŋ35	n t ɔ u ŋ 35	n t ɔ u ŋ ³⁵	90-1	273
1270	Liuxiang Jiongnai	tree	90	jion1236	ntaŋ22	n t a ŋ 22	n t a ŋ ²²	90-1	273
1271	Xiaozhai Younuo	tree	90	youn1235	fɔ33	f ɔ 33	f ɔ ³³	90-2	274
1272	Huangluo Younuo	tree	90	youn1235	fɔ33	f ɔ 33	f ɔ ³³	90-2	274
1273	Northern Pa-Hng	tree	90	pahn1237	ti̯a35	t i̯ a 35	t j a ³⁵	90-3	275
1274	Southern Pa-Hng	tree	90	pahn1237	pi̯a35	p i̯ a 35	p j a ³⁵	90-3	275
1275	Hm-Nai	tree	90	wuna1248	ca35	c a 35	ts a ³⁵	90-3	275
1276	Western Xiangxi	two	91	nort2748	ɯ1	ɯ 1	ɯ ¹/	91-1	276
1277	Eastern Xiangxi	two	91	east2371	ʋ53	ʋ 53	ʋ ⁵³	91-1	276
1278	Qiandong	two	91	east2369	o1	o 1	o ¹/	91-1	276
1279	Chuanqiandian	two	91	nort3244	ʔao1	ʔ a o 1	ʔ a o ¹/	91-1	276
1280	Diandongbei	two	91	larg1235	a1	a 1	a ¹/	91-1	276
1281	Hmong Daw	two	91	hmon1333	o1	o 1	o ¹/	91-1	276
1282	Hmong Njua	two	91	hmon1264	ʔao1	ʔ a o 1	ʔ a o ¹/	91-1	276
1283	Bunu	two	91	buna1273	au1	au 1	a u ¹/	91-1	276
1284	Baonao	two	91	buna1273	uɔ1	u ɔ 1	u ɔ ¹/	91-1	276
1285	Numao	two	91	numa1251	öy1	ö y 1	œ j ¹/	91-1	276
1286	Longhua Jiongnai	two	91	jion1236	u44	u 44	u ⁴⁴	91-1	276
1287	Liuxiang Jiongnai	two	91	jion1236	u44	u 44	u ⁴⁴	91-1	276
1288	Xiaozhai Younuo	two	91	youn1235	u33	u 33	u ³³	91-1	276
1289	Huangluo Younuo	two	91	youn1235	u33	u 33	u ³³	91-1	276
1290	Northern Pa-Hng	two	91	pahn1237	va35	v a 35	v a ³⁵	91-1	276
1291	Southern Pa-Hng	two	91	pahn1237	va35	v a 35	v a ³⁵	91-1	276
1292	Hm-Nai	two	91	wuna1248	wa53	w a 53	w a ⁵³	91-1	276
1293	Western Xiangxi	walk (go)	92	nort2748	moŋ4	m o ŋ 4	m o ŋ ⁴/	92-1	277
1294	Eastern Xiangxi	walk (go)	92	east2371	maŋ33	m a ŋ 33	m a ŋ ³³	92-1	277
1295	Qiandong	walk (go)	92	east2369	moŋ4	m o ŋ 4	m o ŋ ⁴/	92-1	277
1296	Chuanqiandian	walk (go)	92	nort3244	moŋ4	m o ŋ 4	m o ŋ ⁴/	92-1	277
1297	Diandongbei	walk (go)	92	larg1235	mao4	m a o 4	m a o ⁴/	92-1	277
1298	Hmong Daw	walk (go)	92	hmon1333	mu5	m u 5	m u ⁵/	92-1	277
1299	Hmong Njua	walk (go)	92	hmon1264	moŋ6	m o ŋ 6	m o ŋ ⁶/	92-1	277
1300	Bunu	walk (go)	92	buna1273	muŋ4	m u ŋ 4	m u ŋ ⁴/	92-1	277
1301	Baonao	walk (go)	92	buna1273	mu4	m u 4	m u ⁴/	92-1	277
1302	Numao	walk (go)	92	numa1251	muŋ4	m u ŋ 4	m u ŋ ⁴/	92-1	277
1303	Longhua Jiongnai	walk (go)	92	jion1236	ŋ̥ŋ31	ŋ̥ŋ 31	ŋ ŋ̊ ³¹	92-1	277
1304	Liuxiang Jiongnai	walk (go)	92	jion1236	ŋ̥ŋ53	ŋ̥ŋ 53	ŋ ŋ̊ ⁵³	92-1	277
1305	Xiaozhai Younuo	walk (go)	92	youn1235	ŋ̩22	ŋ̩ 22	ŋ̩ ²²	92-1	277
