ID	DOCULECT	CONCEPT	CONCEPT_ID	GLOTTOLOG	WORD_IS	SEGMENTS_IS	SEGMENTS	COG	COGID
774	Hm-Nai	mountain	55	wuna1248	yuŋ13	y u ŋ 13	j u ŋ ¹³	55-8	162
775	Western Xiangxi	mouth	56	nort2748	qa3=lo5	q a 3 = l o 5	q a ³/ + l o ⁵/	56-1	163
776	Eastern Xiangxi	mouth	56	east2371	pa35=ɳɔ31	p a 35 = ɳ ɔ 31	p a ³⁵ + ɳ ɔ ³¹	56-2	164
777	Qiandong	mouth	56	east2369	lo5	l o 5	l o ⁵/	56-1	163
778	Chuanqiandian	mouth	56	nort3244	nɕǝu2	nɕ ǝ u 2	n tɕ ǝ u ²/	56-2	164
779	Diandongbei	mouth	56	larg1235	a5=ɕao2	a 5 =ɕ a o 2	a ⁵/ + tɕ a o ²/	56-2	164
780	Hmong Daw	mouth	56	hmon1333	qʰɔ3=ɲʓɔw2	qʰ ɔ 3 = ɲ ʓ ɔ w 2	qʰ ɔ ³/ + ɲ dʑ ɔ w ²/	56-2	164
781	Hmong Njua	mouth	56	hmon1264	ɲʓau5	ɲ ʓ au 5	ɲ dʑ a u ⁵/	56-2	164
782	Bunu	mouth	56	buna1273	nɕu2	nɕ u 2	n tɕ u ²/	56-2	164
783	Baonao	mouth	56	buna1273	kǝ3=ɲɕau2	k ǝ 3 = ɲɕ au 2	k ǝ ³/ + ɲ tɕ a u ²/	56-2	164
784	Numao	mouth	56	numa1251	lɑu5	l ɑ u 5	l ɑ u ⁵/	56-1	163
785	Longhua Jiongnai	mouth	56	jion1236	nti̯ɔ33	n t i̯ ɔ 33	n t j ɔ ³³	56-2	164
786	Liuxiang Jiongnai	mouth	56	jion1236	nti̯eu31	n t i̯ e u 31	n t j e u ³¹	56-2	164
787	Xiaozhai Younuo	mouth	56	youn1235	pǝ31=li̯o33	p ǝ 31 = l i̯ o 33	p ǝ ³¹ + l j o ³³	56-1	163
788	Huangluo Younuo	mouth	56	youn1235	pǝ31=li̯o33	p ǝ 31 = l i̯ o 33	p ǝ ³¹ + l j o ³³	56-1	163
789	Northern Pa-Hng	mouth	56	pahn1237	a33=la55	a 33 = l a 55	a ³³ + l a ⁵⁵	56-1	163
790	Southern Pa-Hng	mouth	56	pahn1237	a44=la55	a 44 = l a 55	a ⁴⁴ + l a ⁵⁵	56-1	163
791	Hm-Nai	mouth	56	wuna1248	naŋ35=la55	n a ŋ 35 = l a 55	n a ŋ ³⁵ + l a ⁵⁵	56-1	163
792	Western Xiangxi	name	57	nort2748	mpu5	m p u 5	m p u ⁵/	57-1	165
793	Eastern Xiangxi	name	57	east2371	bu31	b u 31	b u ³¹	57-1	165
794	Qiandong	name	57	east2369	naŋ2=pi5	n a ŋ 2 = p i 5	n a ŋ ²/ + p i ⁵/	57-1	165
795	Chuanqiandian	name	57	nort3244	mpe5	m p e 5	m p e ⁵/	57-1	165
796	Diandongbei	name	57	larg1235	nci5	n c i 5	n ts i ⁵/	57-1	165
797	Hmong Daw	name	57	hmon1333	mbe4	m b e 4	m b e ⁴/	57-1	165
798	Hmong Njua	name	57	hmon1264	mbe3	m b e 3	m b e ³/	57-1	165
799	Bunu	name	57	buna1273	mpe5	m p e 5	m p e ⁵/	57-1	165
800	Baonao	name	57	buna1273	mpey5	m p e y 5	m p e j ⁵/	57-1	165
801	Numao	name	57	numa1251	mpɑ5	m p ɑ 5	m p ɑ ⁵/	57-1	165
802	Longhua Jiongnai	name	57	jion1236	mpa35	m p a 35	m p a ³⁵	57-1	165
803	Liuxiang Jiongnai	name	57	jion1236	mpa22	m p a 22	m p a ²²	57-1	165
804	Xiaozhai Younuo	name	57	youn1235	mu35-hou31	m u 35 - h o u 31	m u ³⁵ + h o u ³¹	57-1	165
805	Huangluo Younuo	name	57	youn1235	mu53	m u 53	m u ⁵³	57-1	165
806	Northern Pa-Hng	name	57	pahn1237	a33=mu55	a 33 = m u 55	a ³³ + m u ⁵⁵	57-1	165
807	Southern Pa-Hng	name	57	pahn1237	a44=mpo55	a 44 = m p o 55	a ⁴⁴ + m p o ⁵⁵	57-1	165
808	Hm-Nai	name	57	wuna1248	naŋ35=mi̯aŋ33	n a ŋ 35 = m i̯ a ŋ 33	n a ŋ ³⁵ + m j a ŋ ³³	57-2	166
1444	Western Xiangxi	near	103	nort2748	ʐɯ5	ʐ ɯ 5	ʐ ɯ ⁵/	103-1	13
1445	Eastern Xiangxi	near	103	east2371	yu31	y u 31	j u ³¹	103-1	13
1446	Qiandong	near	103	east2369	ɣi5	ɣ i 5	ɣ i ⁵/	103-1	13
1447	Chuanqiandian	near	103	nort3244	ʐe4	ʐ e 4	ʐ e ⁴/	103-1	13
1448	Diandongbei	near	103	larg1235	vǝ5	v ǝ 5	v ǝ ⁵/	103-1	13
1449	Hmong Daw	near	103	hmon1333	že4	ž e 4	ʒ e ⁴/	103-1	13
1450	Hmong Njua	near	103	hmon1264	že3	ž e 3	ʒ e ³/	103-1	13
1451	Bunu	near	103	buna1273	ɣe5	ɣ e 5	ɣ e ⁵/	103-1	13
1452	Baonao	near	103	buna1273	ɣey5	ɣ e y 5	ɣ e j ⁵/	103-1	13
1453	Numao	near	103	numa1251	ɣey5	ɣ e y 5	ɣ e j ⁵/	103-1	13
1454	Longhua Jiongnai	near	103	jion1236	ŋki̯a35	ŋ k i̯ a 35	ŋ k j a ³⁵	103-1	13
1455	Liuxiang Jiongnai	near	103	jion1236	ʑa22	ʑ a 22	ʑ a ²²	103-1	13
1456	Xiaozhai Younuo	near	103	youn1235	vi̯e35	v i̯ e 35	v j e ³⁵	103-1	13
1457	Huangluo Younuo	near	103	youn1235	vay53	v a y 53	v a j ⁵³	103-1	13
1458	Northern Pa-Hng	near	103	pahn1237	yo55	y o 55	j o ⁵⁵	103-1	13
1459	Southern Pa-Hng	near	103	pahn1237	yo55	y o 55	j o ⁵⁵	103-1	13
1460	Hm-Nai	near	103	wuna1248	yo55	y o 55	j o ⁵⁵	103-1	13
809	Western Xiangxi	neck	58	nort2748	soŋ3=nqoŋ3	s o ŋ 3 = n q o ŋ 3	s o ŋ ³/ + n q o ŋ ³/	58-1	167
810	Eastern Xiangxi	neck	58	east2371	qɔ55=qɯ55	q ɔ 55 = q ɯ 55	q ɔ ⁵⁵ + q ɯ ⁵⁵	58-1	167
811	Qiandong	neck	58	east2369	qa1=qoŋ3	q a 1 = q o ŋ 3	q a ¹/ + q o ŋ ³/	58-1	167
812	Hmong Daw	neck	58	hmon1333	ɕa2=ʼda1	ɕa2=ʼda1	tɕ a ² → ˀd a ¹	58-2	168
813	Hmong Njua	neck	58	hmon1264	kaʉ3=ƛaŋ1	k a ʉ 3 = ƛ a ŋ 1	k a ʉ ³/ + tɬ a ŋ ¹/	58-1	167
814	Bunu	neck	58	buna1273	kuŋ1=ƛǝŋ1	k u ŋ 1 = ƛ ǝ ŋ 1	k u ŋ ¹/ + tɬ ǝ ŋ ¹/	58-1	167
815	Baonao	neck	58	buna1273	kɔ1=ƛɒ1	k ɔ 1 = ƛ ɒ 1	k ɔ ¹/ + tɬ ɒ ¹/	58-1	167
816	Numao	neck	58	numa1251	ƛi̯ɑn1	ƛ i̯ ɑ n 1	tɬ j ɑ n ¹/	58-1	167
817	Longhua Jiongnai	neck	58	jion1236	kaŋ53	k a ŋ 53	k a ŋ ⁵³	58-1	167
818	Liuxiang Jiongnai	neck	58	jion1236	kaŋ35	k a ŋ 35	k a ŋ ³⁵	58-1	167
819	Xiaozhai Younuo	neck	58	youn1235	kǝ53=kaŋ33	k ǝ 53 = k a ŋ 33	k ǝ ⁵³ + k a ŋ ³³	58-1	167
